M	WNINDT
Indianapolis	12/8/21 @ 8:00PM	WFYIDT3
Indianapolis	12/18/21 @ 9:30PM	WIPBDT
Indianapolis	12/25/21 @ 11:30AM	WTIUDT
Indianapolis	12/25/21 @ 5:00PM	WIPBDT
South Bend-Elkhart	12/12/21 @ 10:32PM	WNITDT
South Bend-Elkhart	12/19/21 @ 10:30PM	WNITDT
South Bend-Elkhart	12/25/21 @ 3:30AM	WNITDT
‌
Iowa
Market	Date & Time	Station
Cedar Rapids	12/14/21 @ 9:30PM	KIINDT
Cedar Rapids	12/14/21 @ 9:30PM	KRINDT
Cedar Rapids	12/24/21 @ 10:30PM	KIINDT
Cedar Rapids	12/24/21 @ 10:30PM	KRINDT
Cedar Rapids	12/25/21 @ 3:30AM	KIINDT
Cedar Rapids	12/25/21 @ 3:30AM	KRINDT
Davenport	12/14/21 @ 9:30PM	KQINDT
Davenport	12/24/21 @ 3:00AM	WQPTDT
Davenport	12/24/21 @ 10:30PM	KQINDT
Davenport	12/25/21 @ 3:30AM	KQINDT
Davenport	12/25/21 @ 3:00PM	WQPTDT
Des Moines	12/14/21 @ 9:30PM	KDINDT
Des Moines	12/14/21 @ 9:30PM	KTINDT
Des Moines	12/24/21 @ 10:30PM	KDINDT
Des Moines	12/24/21 @ 10:30PM	KTINDT
Des Moines	12/25/21 @ 3:30AM	KDINDT
Des Moines	12/25/21 @ 3:30AM	KTINDT
Omaha	12/14/21 @ 9:30PM	KBINDT
Omaha	12/14/21 @ 9:30PM	KHINDT
Omaha	12/24/21 @ 10:30PM	KBINDT
Omaha	12/24/21 @ 10:30PM	KHINDT
Omaha	12/25/21 @ 3:30AM	KBINDT
Omaha	12/25/21 @ 3:30AM	KHINDT
Rochester	12/14/21 @ 9:30PM	KYINDT
Rochester	12/24/21 @ 10:30PM	KYINDT
Rochester	12/25/21 @ 3:30AM	KYINDT
Sioux City	12/14/21 @ 9:30PM	KSINDT
Sioux City	12/24/21 @ 10:30PM	KSINDT
Sioux City	12/25/21 @ 3:30AM	KSINDT
‌
Kansas
Market	Date & Time	Station
Topeka	12/4/21 @ 5:30AM	KTWUDT3
Topeka	12/18/21 @ 12:00AM	KTWUDT3
Wichita	12/25/21 @ 4:00PM	KOODDT
Wichita	12/25/21 @ 4:00PM	KDCKDT
Wichita	12/25/21 @ 4:00PM	KSWKDT
Wichita	12/25/21 @ 4:00PM	KWKSDT
‌
Kentucky
Market	Date & Time	Station
Bowling Green	12/7/21 @ 4:30AM	WKGBDT
Bowling Green	12/14/21 @ 9:30PM	WKGBDT
Bowling Green	12/16/21 @ 2:30AM	WKGBDT
Bowling Green	12/20/21 @ 9:30PM	WKGBDT2
Bowling Green	12/22/21 @ 1:30AM	WKGBDT2
Charleston	12/7/21 @ 5:30AM	WKASDT
Charleston	12/7/21 @ 5:30AM	WKPIDT
Charleston	12/14/21 @ 10:30PM	WKASDT
Charleston	12/14/21 @ 10:30PM	WKPIDT
Charleston	12/16/21 @ 3:30AM	WKASDT
Charleston	12/16/21 @ 3:30AM	WKPIDT
Charleston	12/20/21 @ 10:30PM	WKASDT2
Charleston	12/20/21 @ 10:30PM	WKPIDT2
Charleston	12/22/21 @ 2:30AM	WKASDT2
Charleston	12/22/21 @ 2:30AM	WKPIDT2
Cincinnati	12/7/21 @ 5:30AM	WCVNDT
Cincinnati	12/7/21 @ 5:30AM	WKONDT
Cincinnati	12/14/21 @ 10:30PM	WCVNDT
Cincinnati	12/14/21 @ 10:30PM	WKONDT
Cincinnati	12/16/21 @ 3:30AM	WCVNDT
Cincinnati	12/16/21 @ 3:30AM	WKONDT
Cincinnati	12/20/21 @ 10:30PM	WCVNDT2
